"year_name","NAME","STATE","FIPS","Storm.Name","Storm.Category","time","date","radius","radii_desc","landfall_date","landfall_time"
"30068","2012_SANDY","lake","florida",12069,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30069","2012_SANDY","lee","florida",12071,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30070","2012_SANDY","levy","florida",12075,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30071","2012_SANDY","manatee","florida",12081,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30072","2012_SANDY","marion","florida",12083,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30073","2012_SANDY","martin","florida",12085,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30074","2012_SANDY","miami-dade","florida",12086,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30075","2012_SANDY","monroe","florida",12087,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30076","2012_SANDY","okeechobee","florida",12093,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30077","2012_SANDY","orange","florida",12095,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30078","2012_SANDY","osceola","florida",12097,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30079","2012_SANDY","palm beach","florida",12099,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30080","2012_SANDY","pasco","florida",12101,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30081","2012_SANDY","pinellas","florida",12103,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30082","2012_SANDY","polk","florida",12105,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30083","2012_SANDY","putnam","florida",12107,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30084","2012_SANDY","st. johns","florida",12109,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30085","2012_SANDY","st. lucie","florida",12111,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30086","2012_SANDY","sarasota","florida",12115,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30087","2012_SANDY","seminole","florida",12117,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30088","2012_SANDY","sumter","florida",12119,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30089","2012_SANDY","volusia","florida",12127,"SANDY","HURRICANE",2100,20121025,563.88,"max34",20121029,2100
"30090","2012_SANDY","alachua","florida",12001,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30091","2012_SANDY","baker","florida",12003,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30092","2012_SANDY","bradford","florida",12007,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30093","2012_SANDY","brevard","florida",12009,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30094","2012_SANDY","broward","florida",12011,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30095","2012_SANDY","charlotte","florida",12015,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30096","2012_SANDY","citrus","florida",12017,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30097","2012_SANDY","clay","florida",12019,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30098","2012_SANDY","collier","florida",12021,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30099","2012_SANDY","columbia","florida",12023,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30100","2012_SANDY","desoto","florida",12027,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30101","2012_SANDY","dixie","florida",12029,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30102","2012_SANDY","duval","florida",12031,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30103","2012_SANDY","flagler","florida",12035,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30104","2012_SANDY","gilchrist","florida",12041,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30105","2012_SANDY","glades","florida",12043,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30106","2012_SANDY","hamilton","florida",12047,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30107","2012_SANDY","hardee","florida",12049,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30108","2012_SANDY","hendry","florida",12051,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30109","2012_SANDY","hernando","florida",12053,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30110","2012_SANDY","highlands","florida",12055,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30111","2012_SANDY","hillsborough","florida",12057,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30112","2012_SANDY","indian river","florida",12061,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30113","2012_SANDY","lafayette","florida",12067,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30114","2012_SANDY","lake","florida",12069,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30115","2012_SANDY","lee","florida",12071,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30116","2012_SANDY","levy","florida",12075,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30117","2012_SANDY","manatee","florida",12081,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30118","2012_SANDY","marion","florida",12083,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30119","2012_SANDY","martin","florida",12085,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30120","2012_SANDY","miami-dade","florida",12086,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30121","2012_SANDY","monroe","florida",12087,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30122","2012_SANDY","nassau","florida",12089,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30123","2012_SANDY","okeechobee","florida",12093,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30124","2012_SANDY","orange","florida",12095,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30125","2012_SANDY","osceola","florida",12097,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30126","2012_SANDY","palm beach","florida",12099,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30127","2012_SANDY","pasco","florida",12101,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30128","2012_SANDY","pinellas","florida",12103,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30129","2012_SANDY","polk","florida",12105,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30130","2012_SANDY","putnam","florida",12107,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
"30131","2012_SANDY","st. johns","florida",12109,"SANDY","HURRICANE",300,20121026,563.88,"max34",20121029,2100
